"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	858	"ROOT"
"2"	1	2	888	858	"Genetic"
"3"	1	3	887	858	"Genetic"
"4"	1	4	886	858	"Genetic"
"5"	1	5	885	858	"Genetic"
"6"	1	6	883	858	"Genetic"
"7"	1	7	882	858	"Genetic"
"8"	1	8	882	858	"Genetic"
"9"	1	9	882	858	"Genetic"
"10"	1	10	882	858	"Genetic"
"11"	7	11	881	858	"Genetic"
"12"	8	12	881	858	"Genetic"
"13"	7	13	880	858	"Genetic"
"14"	8	14	880	858	"Genetic"
"15"	8	15	880	858	"Genetic"
"16"	1	16	879	858	"Genetic"
"17"	8	17	879	858	"Genetic"
"18"	8	18	879	858	"Genetic"
"19"	8	19	879	858	"Genetic"
"20"	8	20	879	858	"Genetic"
"21"	8	21	879	858	"Genetic"
"22"	8	22	879	858	"Genetic"
"23"	14	23	879	858	"Genetic"
"24"	7	24	878	858	"Genetic"
"25"	8	25	878	858	"Genetic"
"26"	8	26	878	858	"Genetic"
"27"	14	27	878	858	"Genetic"
"28"	16	28	878	858	"Genetic"
"29"	1	29	877	858	"Genetic"
"30"	8	30	877	858	"Genetic"
"31"	8	31	877	858	"Genetic"
"32"	9	32	877	858	"Genetic"
"33"	14	33	877	858	"Genetic"
"34"	16	34	877	858	"Genetic"
"35"	21	35	877	858	"Genetic"
"36"	21	36	877	858	"Genetic"
"37"	22	37	877	858	"Genetic"
"38"	23	38	877	858	"Genetic"
"39"	24	39	877	858	"Genetic"
"40"	28	40	877	858	"Genetic"
"41"	8	41	876	858	"Genetic"
"42"	9	42	876	858	"Genetic"
"43"	9	43	876	858	"Genetic"
"44"	21	44	876	858	"Genetic"
"45"	22	45	876	858	"Genetic"
"46"	24	46	876	858	"Genetic"
"47"	30	47	876	858	"Genetic"
"48"	12	48	875	858	"Genetic"
"49"	16	49	875	858	"Genetic"
"50"	16	50	875	858	"Genetic"
"51"	24	51	875	858	"Genetic"
"52"	24	52	875	858	"Genetic"
"53"	24	53	875	858	"Genetic"
"54"	25	54	875	858	"Genetic"
"55"	30	55	875	858	"Genetic"
"56"	41	56	875	858	"Genetic"
"57"	41	57	875	858	"Genetic"
"58"	41	58	875	858	"Genetic"
"59"	47	59	875	858	"Genetic"
"60"	47	60	875	858	"Genetic"
"61"	47	61	875	858	"Genetic"
"62"	47	62	875	858	"Genetic"
"63"	3	63	874	858	"Genetic"
"64"	20	64	874	858	"Genetic"
"65"	33	65	874	858	"Genetic"
"66"	35	66	874	858	"Genetic"
"67"	35	67	874	858	"Genetic"
"68"	41	68	874	858	"Genetic"
"69"	41	69	874	858	"Genetic"
"70"	43	70	874	858	"Genetic"
"71"	47	71	874	858	"Genetic"
"72"	2	72	873	858	"Genetic"
"73"	3	73	873	858	"Genetic"
"74"	12	74	873	858	"Genetic"
"75"	35	75	873	858	"Genetic"
"76"	41	76	873	858	"Genetic"
"77"	41	77	873	858	"Genetic"
"78"	41	78	873	858	"Genetic"
"79"	41	79	873	858	"Genetic"
"80"	41	80	873	858	"Genetic"
"81"	41	81	873	858	"Genetic"
"82"	47	82	873	858	"Genetic"
"83"	47	83	873	858	"Genetic"
"84"	51	84	873	858	"Genetic"
"85"	57	85	873	858	"Genetic"
"86"	60	86	873	858	"Genetic"
"87"	61	87	873	858	"Genetic"
"88"	70	88	873	858	"Genetic"
"89"	2	89	872	858	"Genetic"
"90"	9	90	872	858	"Genetic"
"91"	15	91	872	858	"Genetic"
"92"	24	92	872	858	"Genetic"
"93"	33	93	872	858	"Genetic"
"94"	41	94	872	858	"Genetic"
"95"	41	95	872	858	"Genetic"
"96"	41	96	872	858	"Genetic"
"97"	47	97	872	858	"Genetic"
"98"	47	98	872	858	"Genetic"
"99"	49	99	872	858	"Genetic"
"100"	71	100	872	858	"Genetic"
"101"	72	101	872	858	"Genetic"
"102"	74	102	872	858	"Genetic"
"103"	2	103	871	858	"Genetic"
"104"	2	104	871	858	"Genetic"
"105"	16	105	871	858	"Genetic"
"106"	32	106	871	858	"Genetic"
"107"	33	107	871	858	"Genetic"
"108"	35	108	871	858	"Genetic"
"109"	35	109	871	858	"Genetic"
"110"	41	110	871	858	"Genetic"
"111"	63	111	871	858	"Genetic"
"112"	97	112	871	858	"Genetic"
"113"	97	113	871	858	"Genetic"
"114"	3	114	870	858	"Genetic"
"115"	3	115	870	858	"Genetic"
"116"	4	116	870	858	"Genetic"
"117"	4	117	870	858	"Genetic"
"118"	15	118	870	858	"Genetic"
"119"	41	119	870	858	"Genetic"
"120"	41	120	870	858	"Genetic"
"121"	43	121	870	858	"Genetic"
"122"	43	122	870	858	"Genetic"
"123"	69	123	870	858	"Genetic"
"124"	77	124	870	858	"Genetic"
"125"	77	125	870	858	"Genetic"
"126"	97	126	870	858	"Genetic"
"127"	102	127	870	858	"Genetic"
"128"	104	128	870	858	"Genetic"
"129"	104	129	870	858	"Genetic"
"130"	104	130	870	858	"Genetic"
"131"	105	131	870	858	"Genetic"
"132"	4	132	869	858	"Genetic"
"133"	15	133	869	858	"Genetic"
"134"	15	134	869	858	"Genetic"
"135"	15	135	869	858	"Genetic"
"136"	15	136	869	858	"Genetic"
"137"	33	137	869	858	"Genetic"
"138"	35	138	869	858	"Genetic"
"139"	35	139	869	858	"Genetic"
"140"	35	140	869	858	"Genetic"
"141"	41	141	869	858	"Genetic"
"142"	52	142	869	858	"Genetic"
"143"	77	143	869	858	"Genetic"
"144"	77	144	869	858	"Genetic"
"145"	77	145	869	858	"Genetic"
"146"	77	146	869	858	"Genetic"
"147"	90	147	869	858	"Genetic"
"148"	90	148	869	858	"Genetic"
"149"	102	149	869	858	"Genetic"
"150"	104	150	869	858	"Genetic"
"151"	105	151	869	858	"Genetic"
"152"	109	152	869	858	"Genetic"
"153"	117	153	869	858	"Genetic"
"154"	129	154	869	858	"Genetic"
"155"	3	155	868	858	"Genetic"
"156"	3	156	868	858	"Genetic"
"157"	4	157	868	858	"Genetic"
"158"	14	158	868	858	"Genetic"
"159"	15	159	868	858	"Genetic"
"160"	32	160	868	858	"Genetic"
"161"	33	161	868	858	"Genetic"
"162"	33	162	868	858	"Genetic"
"163"	43	163	868	858	"Genetic"
"164"	74	164	868	858	"Genetic"
"165"	101	165	868	858	"Genetic"
"166"	104	166	868	858	"Genetic"
"167"	104	167	868	858	"Genetic"
"168"	104	168	868	858	"Genetic"
"169"	114	169	868	858	"Genetic"
"170"	117	170	868	858	"Genetic"
"171"	117	171	868	858	"Genetic"
"172"	120	172	868	858	"Genetic"
"173"	135	173	868	858	"Genetic"
"174"	135	174	868	858	"Genetic"
"175"	136	175	868	858	"Genetic"
"176"	138	176	868	858	"Genetic"
"177"	138	177	868	858	"Genetic"
"178"	141	178	868	858	"Genetic"
"179"	143	179	868	858	"Genetic"
"180"	143	180	868	858	"Genetic"
"181"	143	181	868	858	"Genetic"
"182"	147	182	868	858	"Genetic"
"183"	149	183	868	858	"Genetic"
"184"	149	184	868	858	"Genetic"
"185"	150	185	868	858	"Genetic"
"186"	2	186	867	858	"Genetic"
"187"	2	187	867	858	"Genetic"
"188"	3	188	867	858	"Genetic"
"189"	7	189	867	858	"Genetic"
"190"	15	190	867	858	"Genetic"
"191"	16	191	867	858	"Genetic"
"192"	35	192	867	858	"Genetic"
"193"	43	193	867	858	"Genetic"
"194"	49	194	867	858	"Genetic"
"195"	51	195	867	858	"Genetic"
"196"	76	196	867	858	"Genetic"
"197"	97	197	867	858	"Genetic"
"198"	109	198	867	858	"Genetic"
"199"	109	199	867	858	"Genetic"
"200"	115	200	867	858	"Genetic"
"201"	121	201	867	858	"Genetic"
"202"	121	202	867	858	"Genetic"
"203"	130	203	867	858	"Genetic"
"204"	141	204	867	858	"Genetic"
"205"	167	205	867	858	"Genetic"
"206"	167	206	867	858	"Genetic"
"207"	176	207	867	858	"Genetic"
"208"	179	208	867	858	"Genetic"
"209"	179	209	867	858	"Genetic"
"210"	3	210	866	858	"Genetic"
"211"	7	211	866	858	"Genetic"
"212"	8	212	866	858	"Genetic"
"213"	13	213	866	858	"Genetic"
"214"	15	214	866	858	"Genetic"
"215"	29	215	866	858	"Genetic"
"216"	35	216	866	858	"Genetic"
"217"	38	217	866	858	"Genetic"
"218"	68	218	866	858	"Genetic"
"219"	74	219	866	858	"Genetic"
"220"	105	220	866	858	"Genetic"
"221"	115	221	866	858	"Genetic"
"222"	121	222	866	858	"Genetic"
"223"	139	223	866	858	"Genetic"
"224"	139	224	866	858	"Genetic"
"225"	151	225	866	858	"Genetic"
"226"	179	226	866	858	"Genetic"
"227"	179	227	866	858	"Genetic"
"228"	179	228	866	858	"Genetic"
"229"	179	229	866	858	"Genetic"
"230"	179	230	866	858	"Genetic"
"231"	186	231	866	858	"Genetic"
"232"	192	232	866	858	"Genetic"
"233"	199	233	866	858	"Genetic"
"234"	202	234	866	858	"Genetic"
"235"	202	235	866	858	"Genetic"
"236"	206	236	866	858	"Genetic"
"237"	14	237	865	858	"Genetic"
"238"	15	238	865	858	"Genetic"
"239"	15	239	865	858	"Genetic"
