"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	867	"ROOT"
"2"	1	2	890	867	"Genetic"
"3"	2	3	888	867	"Genetic"
"4"	1	4	887	867	"Genetic"
"5"	1	5	887	867	"Genetic"
"6"	1	6	887	867	"Genetic"
"7"	6	7	886	867	"Genetic"
"8"	6	8	886	867	"Genetic"
"9"	6	9	886	867	"Genetic"
"10"	6	10	886	867	"Genetic"
"11"	6	11	886	867	"Genetic"
"12"	1	12	885	867	"Genetic"
"13"	6	13	885	867	"Genetic"
"14"	6	14	885	867	"Genetic"
"15"	1	15	884	867	"Genetic"
"16"	1	16	884	867	"Genetic"
"17"	1	17	884	867	"Genetic"
"18"	1	18	884	867	"Genetic"
"19"	1	19	884	867	"Genetic"
"20"	6	20	884	867	"Genetic"
"21"	6	21	884	867	"Genetic"
"22"	8	22	884	867	"Genetic"
"23"	11	23	884	867	"Genetic"
"24"	11	24	884	867	"Genetic"
"25"	6	25	882	867	"Genetic"
"26"	6	26	882	867	"Genetic"
"27"	6	27	882	867	"Genetic"
"28"	16	28	882	867	"Genetic"
"29"	16	29	882	867	"Genetic"
"30"	6	30	880	867	"Genetic"
"31"	11	31	880	867	"Genetic"
"32"	6	32	877	867	"Genetic"
"33"	6	33	877	867	"Genetic"
"34"	6	34	876	867	"Genetic"
"35"	6	35	876	867	"Genetic"
"36"	6	36	876	867	"Genetic"
"37"	6	37	876	867	"Genetic"
"38"	6	38	876	867	"Genetic"
"39"	31	39	876	867	"Genetic"
"40"	2	40	875	867	"Genetic"
"41"	3	41	875	867	"Genetic"
"42"	31	42	875	867	"Genetic"
"43"	34	43	875	867	"Genetic"
"44"	34	44	875	867	"Genetic"
"45"	37	45	875	867	"Genetic"
"46"	34	46	874	867	"Genetic"
"47"	37	47	874	867	"Genetic"
"48"	37	48	874	867	"Genetic"
"49"	38	49	874	867	"Genetic"
"50"	38	50	874	867	"Genetic"
