"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	857	"ROOT"
"2"	1	2	886	857	"Genetic"
"3"	1	3	886	857	"Genetic"
"4"	1	4	886	857	"Genetic"
"5"	1	5	885	857	"Genetic"
"6"	1	6	884	857	"Genetic"
"7"	1	7	884	857	"Genetic"
"8"	1	8	884	857	"Genetic"
"9"	1	9	884	857	"Genetic"
"10"	1	10	883	857	"Genetic"
"11"	1	11	883	857	"Genetic"
"12"	1	12	883	857	"Genetic"
"13"	1	13	882	857	"Genetic"
"14"	1	14	882	857	"Genetic"
"15"	1	15	882	857	"Genetic"
"16"	7	16	882	857	"Genetic"
"17"	1	17	881	857	"Genetic"
"18"	1	18	881	857	"Genetic"
"19"	1	19	881	857	"Genetic"
"20"	1	20	881	857	"Genetic"
"21"	1	21	881	857	"Genetic"
"22"	1	22	881	857	"Genetic"
"23"	14	23	881	857	"Genetic"
"24"	14	24	881	857	"Genetic"
"25"	14	25	881	857	"Genetic"
"26"	14	26	881	857	"Genetic"
"27"	1	27	880	857	"Genetic"
"28"	1	28	880	857	"Genetic"
"29"	7	29	880	857	"Genetic"
"30"	15	30	880	857	"Genetic"
"31"	17	31	880	857	"Genetic"
"32"	19	32	880	857	"Genetic"
"33"	20	33	880	857	"Genetic"
"34"	26	34	880	857	"Genetic"
"35"	1	35	879	857	"Genetic"
"36"	13	36	879	857	"Genetic"
"37"	14	37	879	857	"Genetic"
"38"	20	38	879	857	"Genetic"
"39"	26	39	879	857	"Genetic"
"40"	28	40	879	857	"Genetic"
"41"	17	41	878	857	"Genetic"
"42"	13	42	877	857	"Genetic"
"43"	14	43	877	857	"Genetic"
"44"	19	44	877	857	"Genetic"
"45"	20	45	877	857	"Genetic"
"46"	20	46	877	857	"Genetic"
"47"	20	47	877	857	"Genetic"
"48"	20	48	877	857	"Genetic"
"49"	29	49	877	857	"Genetic"
"50"	1	50	876	857	"Genetic"
"51"	20	51	876	857	"Genetic"
"52"	22	52	876	857	"Genetic"
"53"	47	53	876	857	"Genetic"
"54"	47	54	876	857	"Genetic"
"55"	1	55	875	857	"Genetic"
"56"	17	56	875	857	"Genetic"
"57"	20	57	875	857	"Genetic"
"58"	20	58	875	857	"Genetic"
"59"	20	59	875	857	"Genetic"
"60"	20	60	875	857	"Genetic"
"61"	47	61	875	857	"Genetic"
"62"	51	62	875	857	"Genetic"
"63"	51	63	875	857	"Genetic"
"64"	8	64	874	857	"Genetic"
"65"	22	65	874	857	"Genetic"
"66"	30	66	874	857	"Genetic"
"67"	51	67	874	857	"Genetic"
"68"	61	68	874	857	"Genetic"
"69"	62	69	874	857	"Genetic"
"70"	1	70	873	857	"Genetic"
"71"	62	71	873	857	"Genetic"
"72"	62	72	873	857	"Genetic"
"73"	62	73	873	857	"Genetic"
"74"	67	74	873	857	"Genetic"
"75"	1	75	872	857	"Genetic"
"76"	8	76	872	857	"Genetic"
"77"	30	77	872	857	"Genetic"
"78"	45	78	872	857	"Genetic"
"79"	45	79	872	857	"Genetic"
"80"	45	80	872	857	"Genetic"
"81"	49	81	872	857	"Genetic"
"82"	49	82	872	857	"Genetic"
"83"	49	83	872	857	"Genetic"
"84"	62	84	872	857	"Genetic"
"85"	71	85	872	857	"Genetic"
"86"	1	86	871	857	"Genetic"
"87"	30	87	871	857	"Genetic"
"88"	63	88	871	857	"Genetic"
"89"	76	89	871	857	"Genetic"
"90"	77	90	871	857	"Genetic"
"91"	3	91	870	857	"Genetic"
"92"	9	92	870	857	"Genetic"
"93"	22	93	870	857	"Genetic"
"94"	30	94	870	857	"Genetic"
"95"	30	95	870	857	"Genetic"
"96"	30	96	870	857	"Genetic"
"97"	44	97	870	857	"Genetic"
"98"	44	98	870	857	"Genetic"
"99"	45	99	870	857	"Genetic"
"100"	45	100	870	857	"Genetic"
"101"	68	101	870	857	"Genetic"
"102"	76	102	870	857	"Genetic"
"103"	3	103	869	857	"Genetic"
"104"	5	104	869	857	"Genetic"
"105"	17	105	869	857	"Genetic"
"106"	20	106	869	857	"Genetic"
"107"	30	107	869	857	"Genetic"
"108"	30	108	869	857	"Genetic"
"109"	56	109	869	857	"Genetic"
"110"	68	110	869	857	"Genetic"
"111"	73	111	869	857	"Genetic"
"112"	79	112	869	857	"Genetic"
"113"	89	113	869	857	"Genetic"
"114"	90	114	869	857	"Genetic"
"115"	95	115	869	857	"Genetic"
"116"	102	116	869	857	"Genetic"
"117"	1	117	868	857	"Genetic"
"118"	5	118	868	857	"Genetic"
"119"	8	119	868	857	"Genetic"
"120"	8	120	868	857	"Genetic"
"121"	8	121	868	857	"Genetic"
"122"	8	122	868	857	"Genetic"
"123"	9	123	868	857	"Genetic"
"124"	9	124	868	857	"Genetic"
"125"	12	125	868	857	"Genetic"
"126"	12	126	868	857	"Genetic"
"127"	13	127	868	857	"Genetic"
"128"	20	128	868	857	"Genetic"
"129"	30	129	868	857	"Genetic"
"130"	38	130	868	857	"Genetic"
"131"	45	131	868	857	"Genetic"
"132"	72	132	868	857	"Genetic"
"133"	73	133	868	857	"Genetic"
"134"	75	134	868	857	"Genetic"
"135"	77	135	868	857	"Genetic"
"136"	78	136	868	857	"Genetic"
"137"	79	137	868	857	"Genetic"
"138"	85	138	868	857	"Genetic"
"139"	86	139	868	857	"Genetic"
"140"	109	140	868	857	"Genetic"
"141"	115	141	868	857	"Genetic"
"142"	2	142	867	857	"Genetic"
"143"	2	143	867	857	"Genetic"
"144"	2	144	867	857	"Genetic"
"145"	2	145	867	857	"Genetic"
"146"	3	146	867	857	"Genetic"
"147"	3	147	867	857	"Genetic"
"148"	3	148	867	857	"Genetic"
"149"	3	149	867	857	"Genetic"
"150"	3	150	867	857	"Genetic"
"151"	8	151	867	857	"Genetic"
"152"	8	152	867	857	"Genetic"
"153"	8	153	867	857	"Genetic"
"154"	9	154	867	857	"Genetic"
"155"	17	155	867	857	"Genetic"
"156"	20	156	867	857	"Genetic"
"157"	27	157	867	857	"Genetic"
"158"	30	158	867	857	"Genetic"
"159"	30	159	867	857	"Genetic"
"160"	34	160	867	857	"Genetic"
"161"	44	161	867	857	"Genetic"
"162"	49	162	867	857	"Genetic"
"163"	49	163	867	857	"Genetic"
"164"	52	164	867	857	"Genetic"
"165"	54	165	867	857	"Genetic"
"166"	55	166	867	857	"Genetic"
"167"	56	167	867	857	"Genetic"
"168"	56	168	867	857	"Genetic"
"169"	65	169	867	857	"Genetic"
"170"	72	170	867	857	"Genetic"
"171"	72	171	867	857	"Genetic"
"172"	72	172	867	857	"Genetic"
"173"	78	173	867	857	"Genetic"
"174"	115	174	867	857	"Genetic"
"175"	6	175	866	857	"Genetic"
"176"	6	176	866	857	"Genetic"
"177"	8	177	866	857	"Genetic"
"178"	10	178	866	857	"Genetic"
"179"	10	179	866	857	"Genetic"
"180"	12	180	866	857	"Genetic"
"181"	20	181	866	857	"Genetic"
"182"	20	182	866	857	"Genetic"
"183"	23	183	866	857	"Genetic"
"184"	24	184	866	857	"Genetic"
"185"	24	185	866	857	"Genetic"
"186"	49	186	866	857	"Genetic"
"187"	49	187	866	857	"Genetic"
"188"	51	188	866	857	"Genetic"
"189"	68	189	866	857	"Genetic"
"190"	78	190	866	857	"Genetic"
"191"	89	191	866	857	"Genetic"
"192"	120	192	866	857	"Genetic"
"193"	133	193	866	857	"Genetic"
"194"	139	194	866	857	"Genetic"
"195"	139	195	866	857	"Genetic"
"196"	139	196	866	857	"Genetic"
"197"	143	197	866	857	"Genetic"
"198"	144	198	866	857	"Genetic"
"199"	145	199	866	857	"Genetic"
"200"	153	200	866	857	"Genetic"
"201"	156	201	866	857	"Genetic"
"202"	167	202	866	857	"Genetic"
"203"	168	203	866	857	"Genetic"
"204"	1	204	865	857	"Genetic"
"205"	1	205	865	857	"Genetic"
"206"	1	206	865	857	"Genetic"
"207"	2	207	865	857	"Genetic"
"208"	2	208	865	857	"Genetic"
"209"	5	209	865	857	"Genetic"
"210"	8	210	865	857	"Genetic"
"211"	12	211	865	857	"Genetic"
"212"	12	212	865	857	"Genetic"
"213"	24	213	865	857	"Genetic"
"214"	25	214	865	857	"Genetic"
"215"	31	215	865	857	"Genetic"
"216"	32	216	865	857	"Genetic"
"217"	37	217	865	857	"Genetic"
"218"	49	218	865	857	"Genetic"
"219"	49	219	865	857	"Genetic"
"220"	49	220	865	857	"Genetic"
"221"	51	221	865	857	"Genetic"
"222"	65	222	865	857	"Genetic"
"223"	65	223	865	857	"Genetic"
"224"	78	224	865	857	"Genetic"
"225"	78	225	865	857	"Genetic"
"226"	86	226	865	857	"Genetic"
"227"	94	227	865	857	"Genetic"
"228"	94	228	865	857	"Genetic"
"229"	104	229	865	857	"Genetic"
"230"	118	230	865	857	"Genetic"
"231"	120	231	865	857	"Genetic"
"232"	147	232	865	857	"Genetic"
"233"	151	233	865	857	"Genetic"
"234"	171	234	865	857	"Genetic"
"235"	174	235	865	857	"Genetic"
"236"	177	236	865	857	"Genetic"
"237"	181	237	865	857	"Genetic"
"238"	187	238	865	857	"Genetic"
"239"	193	239	865	857	"Genetic"
"240"	194	240	865	857	"Genetic"
"241"	200	241	865	857	"Genetic"
"242"	3	242	864	857	"Genetic"
"243"	3	243	864	857	"Genetic"
"244"	4	244	864	857	"Genetic"
"245"	9	245	864	857	"Genetic"
"246"	11	246	864	857	"Genetic"
"247"	12	247	864	857	"Genetic"
"248"	12	248	864	857	"Genetic"
"249"	12	249	864	857	"Genetic"
"250"	15	250	864	857	"Genetic"
"251"	16	251	864	857	"Genetic"
"252"	24	252	864	857	"Genetic"
"253"	26	253	864	857	"Genetic"
"254"	26	254	864	857	"Genetic"
"255"	31	255	864	857	"Genetic"
"256"	36	256	864	857	"Genetic"
"257"	44	257	864	857	"Genetic"
"258"	106	258	864	857	"Genetic"
"259"	118	259	864	857	"Genetic"
"260"	118	260	864	857	"Genetic"
"261"	132	261	864	857	"Genetic"
"262"	143	262	864	857	"Genetic"
"263"	158	263	864	857	"Genetic"
"264"	158	264	864	857	"Genetic"
"265"	158	265	864	857	"Genetic"
"266"	162	266	864	857	"Genetic"
"267"	164	267	864	857	"Genetic"
"268"	164	268	864	857	"Genetic"
"269"	168	269	864	857	"Genetic"
"270"	170	270	864	857	"Genetic"
"271"	170	271	864	857	"Genetic"
"272"	178	272	864	857	"Genetic"
"273"	187	273	864	857	"Genetic"
"274"	187	274	864	857	"Genetic"
"275"	193	275	864	857	"Genetic"
"276"	194	276	864	857	"Genetic"
"277"	207	277	864	857	"Genetic"
"278"	209	278	864	857	"Genetic"
"279"	218	279	864	857	"Genetic"
"280"	224	280	864	857	"Genetic"
"281"	224	281	864	857	"Genetic"
"282"	228	282	864	857	"Genetic"
"283"	3	283	863	857	"Genetic"
"284"	8	284	863	857	"Genetic"
"285"	8	285	863	857	"Genetic"
"286"	8	286	863	857	"Genetic"
"287"	8	287	863	857	"Genetic"
"288"	9	288	863	857	"Genetic"
"289"	9	289	863	857	"Genetic"
"290"	9	290	863	857	"Genetic"
"291"	9	291	863	857	"Genetic"
"292"	9	292	863	857	"Genetic"
"293"	11	293	863	857	"Genetic"
"294"	12	294	863	857	"Genetic"
"295"	13	295	863	857	"Genetic"
"296"	13	296	863	857	"Genetic"
"297"	15	297	863	857	"Genetic"
"298"	15	298	863	857	"Genetic"
"299"	15	299	863	857	"Genetic"
"300"	15	300	863	857	"Genetic"
"301"	17	301	863	857	"Genetic"
"302"	17	302	863	857	"Genetic"
"303"	20	303	863	857	"Genetic"
"304"	20	304	863	857	"Genetic"
"305"	21	305	863	857	"Genetic"
"306"	22	306	863	857	"Genetic"
"307"	22	307	863	857	"Genetic"
"308"	23	308	863	857	"Genetic"
"309"	25	309	863	857	"Genetic"
"310"	34	310	863	857	"Genetic"
"311"	35	311	863	857	"Genetic"
"312"	35	312	863	857	"Genetic"
"313"	39	313	863	857	"Genetic"
"314"	39	314	863	857	"Genetic"
"315"	39	315	863	857	"Genetic"
"316"	39	316	863	857	"Genetic"
"317"	43	317	863	857	"Genetic"
"318"	43	318	863	857	"Genetic"
"319"	49	319	863	857	"Genetic"
"320"	49	320	863	857	"Genetic"
"321"	78	321	863	857	"Genetic"
"322"	78	322	863	857	"Genetic"
"323"	80	323	863	857	"Genetic"
"324"	95	324	863	857	"Genetic"
"325"	97	325	863	857	"Genetic"
"326"	132	326	863	857	"Genetic"
"327"	133	327	863	857	"Genetic"
"328"	133	328	863	857	"Genetic"
"329"	142	329	863	857	"Genetic"
"330"	142	330	863	857	"Genetic"
"331"	150	331	863	857	"Genetic"
"332"	158	332	863	857	"Genetic"
"333"	158	333	863	857	"Genetic"
"334"	170	334	863	857	"Genetic"
"335"	170	335	863	857	"Genetic"
"336"	171	336	863	857	"Genetic"
"337"	173	337	863	857	"Genetic"
"338"	175	338	863	857	"Genetic"
"339"	182	339	863	857	"Genetic"
"340"	203	340	863	857	"Genetic"
"341"	203	341	863	857	"Genetic"
"342"	205	342	863	857	"Genetic"
"343"	209	343	863	857	"Genetic"
"344"	209	344	863	857	"Genetic"
"345"	217	345	863	857	"Genetic"
"346"	217	346	863	857	"Genetic"
"347"	217	347	863	857	"Genetic"
"348"	217	348	863	857	"Genetic"
"349"	228	349	863	857	"Genetic"
"350"	233	350	863	857	"Genetic"
"351"	233	351	863	857	"Genetic"
"352"	257	352	863	857	"Genetic"
"353"	257	353	863	857	"Genetic"
"354"	266	354	863	857	"Genetic"
"355"	272	355	863	857	"Genetic"
"356"	279	356	863	857	"Genetic"
"357"	2	357	862	857	"Genetic"
"358"	7	358	862	857	"Genetic"
"359"	7	359	862	857	"Genetic"
"360"	9	360	862	857	"Genetic"
"361"	9	361	862	857	"Genetic"
"362"	11	362	862	857	"Genetic"
"363"	11	363	862	857	"Genetic"
"364"	11	364	862	857	"Genetic"
"365"	11	365	862	857	"Genetic"
"366"	11	366	862	857	"Genetic"
"367"	11	367	862	857	"Genetic"
"368"	12	368	862	857	"Genetic"
"369"	13	369	862	857	"Genetic"
"370"	21	370	862	857	"Genetic"
"371"	21	371	862	857	"Genetic"
"372"	24	372	862	857	"Genetic"
"373"	24	373	862	857	"Genetic"
"374"	26	374	862	857	"Genetic"
"375"	26	375	862	857	"Genetic"
"376"	26	376	862	857	"Genetic"
"377"	28	377	862	857	"Genetic"
"378"	28	378	862	857	"Genetic"
"379"	30	379	862	857	"Genetic"
"380"	38	380	862	857	"Genetic"
"381"	43	381	862	857	"Genetic"
"382"	49	382	862	857	"Genetic"
"383"	54	383	862	857	"Genetic"
"384"	56	384	862	857	"Genetic"
"385"	65	385	862	857	"Genetic"
"386"	94	386	862	857	"Genetic"
"387"	95	387	862	857	"Genetic"
"388"	118	388	862	857	"Genetic"
"389"	137	389	862	857	"Genetic"
"390"	139	390	862	857	"Genetic"
"391"	139	391	862	857	"Genetic"
"392"	142	392	862	857	"Genetic"
"393"	142	393	862	857	"Genetic"
"394"	154	394	862	857	"Genetic"
"395"	160	395	862	857	"Genetic"
"396"	168	396	862	857	"Genetic"
"397"	188	397	862	857	"Genetic"
"398"	188	398	862	857	"Genetic"
"399"	193	399	862	857	"Genetic"
"400"	200	400	862	857	"Genetic"
"401"	205	401	862	857	"Genetic"
"402"	205	402	862	857	"Genetic"
"403"	207	403	862	857	"Genetic"
"404"	215	404	862	857	"Genetic"
"405"	226	405	862	857	"Genetic"
"406"	228	406	862	857	"Genetic"
"407"	230	407	862	857	"Genetic"
"408"	248	408	862	857	"Genetic"
"409"	257	409	862	857	"Genetic"
"410"	261	410	862	857	"Genetic"
"411"	267	411	862	857	"Genetic"
"412"	285	412	862	857	"Genetic"
"413"	290	413	862	857	"Genetic"
"414"	293	414	862	857	"Genetic"
"415"	293	415	862	857	"Genetic"
"416"	311	416	862	857	"Genetic"
"417"	313	417	862	857	"Genetic"
"418"	314	418	862	857	"Genetic"
"419"	314	419	862	857	"Genetic"
"420"	315	420	862	857	"Genetic"
"421"	315	421	862	857	"Genetic"
"422"	340	422	862	857	"Genetic"
"423"	340	423	862	857	"Genetic"
"424"	340	424	862	857	"Genetic"
"425"	344	425	862	857	"Genetic"
"426"	348	426	862	857	"Genetic"
"427"	350	427	862	857	"Genetic"
"428"	353	428	862	857	"Genetic"
"429"	2	429	861	857	"Genetic"
"430"	3	430	861	857	"Genetic"
"431"	4	431	861	857	"Genetic"
"432"	6	432	861	857	"Genetic"
"433"	6	433	861	857	"Genetic"
"434"	7	434	861	857	"Genetic"
"435"	9	435	861	857	"Genetic"
"436"	11	436	861	857	"Genetic"
"437"	12	437	861	857	"Genetic"
"438"	12	438	861	857	"Genetic"
"439"	13	439	861	857	"Genetic"
"440"	14	440	861	857	"Genetic"
"441"	14	441	861	857	"Genetic"
"442"	14	442	861	857	"Genetic"
"443"	15	443	861	857	"Genetic"
"444"	16	444	861	857	"Genetic"
"445"	17	445	861	857	"Genetic"
"446"	19	446	861	857	"Genetic"
"447"	19	447	861	857	"Genetic"
"448"	20	448	861	857	"Genetic"
"449"	20	449	861	857	"Genetic"
"450"	22	450	861	857	"Genetic"
"451"	25	451	861	857	"Genetic"
"452"	27	452	861	857	"Genetic"
"453"	28	453	861	857	"Genetic"
"454"	32	454	861	857	"Genetic"
"455"	32	455	861	857	"Genetic"
"456"	32	456	861	857	"Genetic"
"457"	34	457	861	857	"Genetic"
"458"	34	458	861	857	"Genetic"
"459"	35	459	861	857	"Genetic"
"460"	35	460	861	857	"Genetic"
"461"	35	461	861	857	"Genetic"
"462"	35	462	861	857	"Genetic"
"463"	35	463	861	857	"Genetic"
"464"	38	464	861	857	"Genetic"
"465"	38	465	861	857	"Genetic"
"466"	39	466	861	857	"Genetic"
"467"	49	467	861	857	"Genetic"
"468"	51	468	861	857	"Genetic"
"469"	54	469	861	857	"Genetic"
"470"	65	470	861	857	"Genetic"
"471"	79	471	861	857	"Genetic"
"472"	97	472	861	857	"Genetic"
"473"	104	473	861	857	"Genetic"
"474"	104	474	861	857	"Genetic"
"475"	117	475	861	857	"Genetic"
"476"	148	476	861	857	"Genetic"
"477"	150	477	861	857	"Genetic"
"478"	150	478	861	857	"Genetic"
"479"	150	479	861	857	"Genetic"
"480"	153	480	861	857	"Genetic"
"481"	153	481	861	857	"Genetic"
"482"	157	482	861	857	"Genetic"
"483"	159	483	861	857	"Genetic"
"484"	159	484	861	857	"Genetic"
"485"	162	485	861	857	"Genetic"
"486"	168	486	861	857	"Genetic"
"487"	168	487	861	857	"Genetic"
"488"	168	488	861	857	"Genetic"
"489"	171	489	861	857	"Genetic"
"490"	173	490	861	857	"Genetic"
"491"	207	491	861	857	"Genetic"
"492"	207	492	861	857	"Genetic"
"493"	209	493	861	857	"Genetic"
"494"	215	494	861	857	"Genetic"
"495"	217	495	861	857	"Genetic"
"496"	226	496	861	857	"Genetic"
"497"	228	497	861	857	"Genetic"
"498"	230	498	861	857	"Genetic"
"499"	232	499	861	857	"Genetic"
"500"	248	500	861	857	"Genetic"
"501"	248	501	861	857	"Genetic"
"502"	248	502	861	857	"Genetic"
"503"	267	503	861	857	"Genetic"
"504"	272	504	861	857	"Genetic"
"505"	272	505	861	857	"Genetic"
"506"	273	506	861	857	"Genetic"
"507"	279	507	861	857	"Genetic"
"508"	279	508	861	857	"Genetic"
"509"	283	509	861	857	"Genetic"
"510"	285	510	861	857	"Genetic"
"511"	285	511	861	857	"Genetic"
"512"	290	512	861	857	"Genetic"
"513"	290	513	861	857	"Genetic"
"514"	290	514	861	857	"Genetic"
"515"	308	515	861	857	"Genetic"
"516"	313	516	861	857	"Genetic"
"517"	315	517	861	857	"Genetic"
"518"	321	518	861	857	"Genetic"
"519"	327	519	861	857	"Genetic"
"520"	340	520	861	857	"Genetic"
"521"	343	521	861	857	"Genetic"
"522"	349	522	861	857	"Genetic"
"523"	359	523	861	857	"Genetic"
"524"	363	524	861	857	"Genetic"
"525"	363	525	861	857	"Genetic"
"526"	363	526	861	857	"Genetic"
"527"	371	527	861	857	"Genetic"
"528"	390	528	861	857	"Genetic"
"529"	390	529	861	857	"Genetic"
"530"	390	530	861	857	"Genetic"
"531"	397	531	861	857	"Genetic"
"532"	398	532	861	857	"Genetic"
"533"	404	533	861	857	"Genetic"
"534"	404	534	861	857	"Genetic"
"535"	404	535	861	857	"Genetic"
"536"	410	536	861	857	"Genetic"
"537"	426	537	861	857	"Genetic"
"538"	2	538	860	857	"Genetic"
"539"	5	539	860	857	"Genetic"
"540"	8	540	860	857	"Genetic"
"541"	8	541	860	857	"Genetic"
"542"	8	542	860	857	"Genetic"
"543"	9	543	860	857	"Genetic"
"544"	11	544	860	857	"Genetic"
"545"	12	545	860	857	"Genetic"
"546"	13	546	860	857	"Genetic"
"547"	13	547	860	857	"Genetic"
"548"	14	548	860	857	"Genetic"
"549"	14	549	860	857	"Genetic"
"550"	14	550	860	857	"Genetic"
"551"	15	551	860	857	"Genetic"
"552"	17	552	860	857	"Genetic"
"553"	18	553	860	857	"Genetic"
"554"	18	554	860	857	"Genetic"
"555"	21	555	860	857	"Genetic"
"556"	21	556	860	857	"Genetic"
"557"	21	557	860	857	"Genetic"
"558"	35	558	860	857	"Genetic"
"559"	37	559	860	857	"Genetic"
"560"	40	560	860	857	"Genetic"
"561"	40	561	860	857	"Genetic"
"562"	40	562	860	857	"Genetic"
"563"	40	563	860	857	"Genetic"
"564"	43	564	860	857	"Genetic"
"565"	49	565	860	857	"Genetic"
"566"	59	566	860	857	"Genetic"
"567"	63	567	860	857	"Genetic"
"568"	71	568	860	857	"Genetic"
"569"	71	569	860	857	"Genetic"
"570"	79	570	860	857	"Genetic"
"571"	79	571	860	857	"Genetic"
"572"	85	572	860	857	"Genetic"
"573"	97	573	860	857	"Genetic"
"574"	97	574	860	857	"Genetic"
"575"	101	575	860	857	"Genetic"
"576"	101	576	860	857	"Genetic"
"577"	106	577	860	857	"Genetic"
"578"	117	578	860	857	"Genetic"
"579"	118	579	860	857	"Genetic"
"580"	120	580	860	857	"Genetic"
"581"	139	581	860	857	"Genetic"
"582"	157	582	860	857	"Genetic"
"583"	157	583	860	857	"Genetic"
"584"	158	584	860	857	"Genetic"
"585"	158	585	860	857	"Genetic"
"586"	159	586	860	857	"Genetic"
"587"	168	587	860	857	"Genetic"
"588"	176	588	860	857	"Genetic"
"589"	182	589	860	857	"Genetic"
"590"	221	590	860	857	"Genetic"
"591"	221	591	860	857	"Genetic"
"592"	226	592	860	857	"Genetic"
"593"	232	593	860	857	"Genetic"
"594"	243	594	860	857	"Genetic"
"595"	251	595	860	857	"Genetic"
"596"	251	596	860	857	"Genetic"
"597"	261	597	860	857	"Genetic"
"598"	267	598	860	857	"Genetic"
"599"	283	599	860	857	"Genetic"
"600"	292	600	860	857	"Genetic"
"601"	293	601	860	857	"Genetic"
"602"	293	602	860	857	"Genetic"
"603"	293	603	860	857	"Genetic"
"604"	298	604	860	857	"Genetic"
"605"	308	605	860	857	"Genetic"
"606"	313	606	860	857	"Genetic"
"607"	314	607	860	857	"Genetic"
"608"	315	608	860	857	"Genetic"
"609"	326	609	860	857	"Genetic"
"610"	337	610	860	857	"Genetic"
"611"	349	611	860	857	"Genetic"
"612"	365	612	860	857	"Genetic"
"613"	365	613	860	857	"Genetic"
"614"	365	614	860	857	"Genetic"
"615"	365	615	860	857	"Genetic"
"616"	365	616	860	857	"Genetic"
"617"	366	617	860	857	"Genetic"
"618"	372	618	860	857	"Genetic"
"619"	374	619	860	857	"Genetic"
"620"	374	620	860	857	"Genetic"
"621"	374	621	860	857	"Genetic"
"622"	375	622	860	857	"Genetic"
"623"	381	623	860	857	"Genetic"
"624"	384	624	860	857	"Genetic"
"625"	390	625	860	857	"Genetic"
"626"	408	626	860	857	"Genetic"
"627"	413	627	860	857	"Genetic"
"628"	421	628	860	857	"Genetic"
"629"	433	629	860	857	"Genetic"
"630"	434	630	860	857	"Genetic"
"631"	437	631	860	857	"Genetic"
"632"	437	632	860	857	"Genetic"
"633"	437	633	860	857	"Genetic"
"634"	438	634	860	857	"Genetic"
"635"	438	635	860	857	"Genetic"
"636"	438	636	860	857	"Genetic"
"637"	438	637	860	857	"Genetic"
"638"	438	638	860	857	"Genetic"
"639"	439	639	860	857	"Genetic"
"640"	439	640	860	857	"Genetic"
"641"	441	641	860	857	"Genetic"
"642"	442	642	860	857	"Genetic"
"643"	446	643	860	857	"Genetic"
"644"	448	644	860	857	"Genetic"
"645"	449	645	860	857	"Genetic"
"646"	449	646	860	857	"Genetic"
"647"	461	647	860	857	"Genetic"
"648"	464	648	860	857	"Genetic"
"649"	472	649	860	857	"Genetic"
"650"	472	650	860	857	"Genetic"
"651"	473	651	860	857	"Genetic"
"652"	473	652	860	857	"Genetic"
"653"	484	653	860	857	"Genetic"
"654"	485	654	860	857	"Genetic"
"655"	490	655	860	857	"Genetic"
"656"	491	656	860	857	"Genetic"
"657"	491	657	860	857	"Genetic"
"658"	496	658	860	857	"Genetic"
