"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	859	"ROOT"
"2"	1	2	887	859	"Genetic"
"3"	1	3	886	859	"Genetic"
"4"	1	4	886	859	"Genetic"
"5"	1	5	886	859	"Genetic"
"6"	1	6	886	859	"Genetic"
"7"	1	7	885	859	"Genetic"
"8"	1	8	885	859	"Genetic"
"9"	5	9	884	859	"Genetic"
"10"	5	10	884	859	"Genetic"
"11"	7	11	884	859	"Genetic"
"12"	7	12	884	859	"Genetic"
"13"	7	13	884	859	"Genetic"
"14"	5	14	883	859	"Genetic"
"15"	5	15	883	859	"Genetic"
"16"	5	16	883	859	"Genetic"
"17"	1	17	882	859	"Genetic"
"18"	12	18	882	859	"Genetic"
"19"	16	19	882	859	"Genetic"
"20"	16	20	882	859	"Genetic"
"21"	16	21	881	859	"Genetic"
"22"	17	22	881	859	"Genetic"
"23"	20	23	881	859	"Genetic"
"24"	20	24	881	859	"Genetic"
"25"	5	25	880	859	"Genetic"
"26"	12	26	880	859	"Genetic"
"27"	16	27	880	859	"Genetic"
"28"	16	28	879	859	"Genetic"
"29"	24	29	879	859	"Genetic"
"30"	1	30	878	859	"Genetic"
"31"	12	31	878	859	"Genetic"
"32"	16	32	878	859	"Genetic"
"33"	21	33	878	859	"Genetic"
"34"	21	34	878	859	"Genetic"
"35"	21	35	878	859	"Genetic"
"36"	21	36	878	859	"Genetic"
"37"	24	37	878	859	"Genetic"
"38"	21	38	877	859	"Genetic"
"39"	23	39	877	859	"Genetic"
"40"	23	40	877	859	"Genetic"
"41"	23	41	877	859	"Genetic"
"42"	24	42	877	859	"Genetic"
"43"	2	43	876	859	"Genetic"
"44"	24	44	876	859	"Genetic"
"45"	29	45	876	859	"Genetic"
"46"	7	46	875	859	"Genetic"
"47"	16	47	875	859	"Genetic"
"48"	16	48	875	859	"Genetic"
"49"	17	49	875	859	"Genetic"
"50"	17	50	875	859	"Genetic"
"51"	44	51	875	859	"Genetic"
"52"	1	52	874	859	"Genetic"
"53"	2	53	874	859	"Genetic"
"54"	16	54	874	859	"Genetic"
"55"	17	55	874	859	"Genetic"
"56"	17	56	874	859	"Genetic"
"57"	21	57	874	859	"Genetic"
"58"	21	58	874	859	"Genetic"
"59"	40	59	874	859	"Genetic"
"60"	1	60	873	859	"Genetic"
"61"	11	61	873	859	"Genetic"
"62"	17	62	873	859	"Genetic"
"63"	24	63	873	859	"Genetic"
"64"	49	64	873	859	"Genetic"
"65"	49	65	873	859	"Genetic"
"66"	49	66	873	859	"Genetic"
"67"	49	67	873	859	"Genetic"
"68"	52	68	873	859	"Genetic"
"69"	54	69	873	859	"Genetic"
"70"	11	70	872	859	"Genetic"
"71"	12	71	872	859	"Genetic"
"72"	21	72	872	859	"Genetic"
"73"	21	73	872	859	"Genetic"
"74"	21	74	872	859	"Genetic"
"75"	21	75	872	859	"Genetic"
"76"	40	76	872	859	"Genetic"
"77"	44	77	872	859	"Genetic"
"78"	53	78	872	859	"Genetic"
"79"	53	79	872	859	"Genetic"
"80"	53	80	872	859	"Genetic"
"81"	16	81	871	859	"Genetic"
"82"	16	82	871	859	"Genetic"
"83"	17	83	871	859	"Genetic"
"84"	23	84	871	859	"Genetic"
"85"	29	85	871	859	"Genetic"
"86"	40	86	871	859	"Genetic"
"87"	44	87	871	859	"Genetic"
"88"	44	88	871	859	"Genetic"
"89"	49	89	871	859	"Genetic"
"90"	49	90	871	859	"Genetic"
"91"	53	91	871	859	"Genetic"
"92"	53	92	871	859	"Genetic"
"93"	53	93	871	859	"Genetic"
"94"	61	94	871	859	"Genetic"
"95"	64	95	871	859	"Genetic"
"96"	72	96	871	859	"Genetic"
"97"	1	97	870	859	"Genetic"
"98"	1	98	870	859	"Genetic"
"99"	2	99	870	859	"Genetic"
"100"	7	100	870	859	"Genetic"
"101"	11	101	870	859	"Genetic"
"102"	13	102	870	859	"Genetic"
"103"	13	103	870	859	"Genetic"
"104"	13	104	870	859	"Genetic"
"105"	16	105	870	859	"Genetic"
"106"	16	106	870	859	"Genetic"
"107"	17	107	870	859	"Genetic"
"108"	17	108	870	859	"Genetic"
"109"	72	109	870	859	"Genetic"
"110"	77	110	870	859	"Genetic"
"111"	82	111	870	859	"Genetic"
"112"	87	112	870	859	"Genetic"
"113"	92	113	870	859	"Genetic"
"114"	10	114	869	859	"Genetic"
"115"	13	115	869	859	"Genetic"
"116"	17	116	869	859	"Genetic"
"117"	17	117	869	859	"Genetic"
"118"	18	118	869	859	"Genetic"
"119"	29	119	869	859	"Genetic"
"120"	30	120	869	859	"Genetic"
"121"	49	121	869	859	"Genetic"
"122"	67	122	869	859	"Genetic"
"123"	69	123	869	859	"Genetic"
"124"	72	124	869	859	"Genetic"
"125"	73	125	869	859	"Genetic"
"126"	73	126	869	859	"Genetic"
"127"	102	127	869	859	"Genetic"
"128"	105	128	869	859	"Genetic"
"129"	107	129	869	859	"Genetic"
"130"	111	130	869	859	"Genetic"
"131"	112	131	869	859	"Genetic"
"132"	112	132	869	859	"Genetic"
"133"	4	133	868	859	"Genetic"
"134"	5	134	868	859	"Genetic"
"135"	5	135	868	859	"Genetic"
"136"	7	136	868	859	"Genetic"
"137"	13	137	868	859	"Genetic"
"138"	13	138	868	859	"Genetic"
"139"	21	139	868	859	"Genetic"
"140"	22	140	868	859	"Genetic"
"141"	42	141	868	859	"Genetic"
"142"	52	142	868	859	"Genetic"
"143"	72	143	868	859	"Genetic"
"144"	78	144	868	859	"Genetic"
"145"	78	145	868	859	"Genetic"
"146"	81	146	868	859	"Genetic"
"147"	81	147	868	859	"Genetic"
"148"	81	148	868	859	"Genetic"
"149"	82	149	868	859	"Genetic"
"150"	85	150	868	859	"Genetic"
"151"	91	151	868	859	"Genetic"
"152"	120	152	868	859	"Genetic"
"153"	121	153	868	859	"Genetic"
"154"	121	154	868	859	"Genetic"
"155"	3	155	867	859	"Genetic"
"156"	3	156	867	859	"Genetic"
"157"	6	157	867	859	"Genetic"
"158"	11	158	867	859	"Genetic"
"159"	13	159	867	859	"Genetic"
"160"	13	160	867	859	"Genetic"
"161"	17	161	867	859	"Genetic"
"162"	17	162	867	859	"Genetic"
"163"	21	163	867	859	"Genetic"
"164"	28	164	867	859	"Genetic"
"165"	29	165	867	859	"Genetic"
"166"	29	166	867	859	"Genetic"
"167"	43	167	867	859	"Genetic"
"168"	44	168	867	859	"Genetic"
"169"	49	169	867	859	"Genetic"
"170"	55	170	867	859	"Genetic"
"171"	61	171	867	859	"Genetic"
"172"	78	172	867	859	"Genetic"
"173"	78	173	867	859	"Genetic"
"174"	78	174	867	859	"Genetic"
"175"	117	175	867	859	"Genetic"
"176"	117	176	867	859	"Genetic"
"177"	125	177	867	859	"Genetic"
"178"	134	178	867	859	"Genetic"
"179"	141	179	867	859	"Genetic"
"180"	147	180	867	859	"Genetic"
"181"	148	181	867	859	"Genetic"
"182"	153	182	867	859	"Genetic"
"183"	1	183	866	859	"Genetic"
"184"	1	184	866	859	"Genetic"
"185"	3	185	866	859	"Genetic"
"186"	3	186	866	859	"Genetic"
"187"	6	187	866	859	"Genetic"
"188"	6	188	866	859	"Genetic"
"189"	12	189	866	859	"Genetic"
"190"	19	190	866	859	"Genetic"
"191"	31	191	866	859	"Genetic"
"192"	31	192	866	859	"Genetic"
"193"	31	193	866	859	"Genetic"
"194"	33	194	866	859	"Genetic"
"195"	43	195	866	859	"Genetic"
"196"	72	196	866	859	"Genetic"
"197"	78	197	866	859	"Genetic"
"198"	89	198	866	859	"Genetic"
"199"	101	199	866	859	"Genetic"
"200"	101	200	866	859	"Genetic"
"201"	123	201	866	859	"Genetic"
"202"	123	202	866	859	"Genetic"
"203"	130	203	866	859	"Genetic"
"204"	132	204	866	859	"Genetic"
"205"	136	205	866	859	"Genetic"
"206"	145	206	866	859	"Genetic"
"207"	153	207	866	859	"Genetic"
"208"	159	208	866	859	"Genetic"
"209"	159	209	866	859	"Genetic"
"210"	159	210	866	859	"Genetic"
"211"	175	211	866	859	"Genetic"
"212"	177	212	866	859	"Genetic"
"213"	178	213	866	859	"Genetic"
"214"	1	214	865	859	"Genetic"
"215"	1	215	865	859	"Genetic"
"216"	1	216	865	859	"Genetic"
"217"	1	217	865	859	"Genetic"
"218"	2	218	865	859	"Genetic"
"219"	2	219	865	859	"Genetic"
"220"	2	220	865	859	"Genetic"
"221"	4	221	865	859	"Genetic"
"222"	4	222	865	859	"Genetic"
"223"	9	223	865	859	"Genetic"
"224"	12	224	865	859	"Genetic"
"225"	16	225	865	859	"Genetic"
"226"	25	226	865	859	"Genetic"
"227"	25	227	865	859	"Genetic"
"228"	27	228	865	859	"Genetic"
"229"	28	229	865	859	"Genetic"
"230"	28	230	865	859	"Genetic"
"231"	28	231	865	859	"Genetic"
"232"	42	232	865	859	"Genetic"
"233"	42	233	865	859	"Genetic"
"234"	69	234	865	859	"Genetic"
"235"	72	235	865	859	"Genetic"
"236"	72	236	865	859	"Genetic"
"237"	84	237	865	859	"Genetic"
"238"	86	238	865	859	"Genetic"
"239"	86	239	865	859	"Genetic"
"240"	87	240	865	859	"Genetic"
"241"	101	241	865	859	"Genetic"
"242"	114	242	865	859	"Genetic"
"243"	117	243	865	859	"Genetic"
"244"	117	244	865	859	"Genetic"
"245"	117	245	865	859	"Genetic"
"246"	117	246	865	859	"Genetic"
"247"	141	247	865	859	"Genetic"
"248"	153	248	865	859	"Genetic"
"249"	155	249	865	859	"Genetic"
"250"	159	250	865	859	"Genetic"
"251"	159	251	865	859	"Genetic"
"252"	159	252	865	859	"Genetic"
