"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	900	857	"ROOT"
"2"	1	2	885	857	"Genetic"
"3"	1	3	885	857	"Genetic"
"4"	1	4	884	857	"Genetic"
"5"	1	5	884	857	"Genetic"
"6"	1	6	884	857	"Genetic"
"7"	1	7	884	857	"Genetic"
"8"	1	8	883	857	"Genetic"
"9"	1	9	883	857	"Genetic"
"10"	1	10	882	857	"Genetic"
"11"	1	11	882	857	"Genetic"
"12"	1	12	882	857	"Genetic"
"13"	1	13	882	857	"Genetic"
"14"	1	14	882	857	"Genetic"
"15"	1	15	882	857	"Genetic"
"16"	1	16	882	857	"Genetic"
"17"	1	17	882	857	"Genetic"
"18"	1	18	882	857	"Genetic"
"19"	1	19	882	857	"Genetic"
"20"	1	20	881	857	"Genetic"
"21"	1	21	880	857	"Genetic"
"22"	1	22	880	857	"Genetic"
"23"	1	23	880	857	"Genetic"
"24"	14	24	880	857	"Genetic"
"25"	15	25	880	857	"Genetic"
"26"	1	26	879	857	"Genetic"
"27"	1	27	879	857	"Genetic"
"28"	1	28	879	857	"Genetic"
"29"	15	29	879	857	"Genetic"
"30"	18	30	879	857	"Genetic"
"31"	24	31	879	857	"Genetic"
"32"	1	32	878	857	"Genetic"
"33"	11	33	878	857	"Genetic"
"34"	15	34	878	857	"Genetic"
"35"	16	35	878	857	"Genetic"
"36"	24	36	878	857	"Genetic"
"37"	24	37	878	857	"Genetic"
"38"	24	38	878	857	"Genetic"
"39"	16	39	877	857	"Genetic"
"40"	32	40	877	857	"Genetic"
"41"	36	41	877	857	"Genetic"
"42"	36	42	877	857	"Genetic"
"43"	11	43	876	857	"Genetic"
"44"	32	44	876	857	"Genetic"
"45"	32	45	876	857	"Genetic"
"46"	32	46	876	857	"Genetic"
"47"	36	47	876	857	"Genetic"
"48"	36	48	876	857	"Genetic"
"49"	39	49	876	857	"Genetic"
"50"	39	50	876	857	"Genetic"
"51"	39	51	876	857	"Genetic"
"52"	11	52	875	857	"Genetic"
"53"	32	53	875	857	"Genetic"
